text_zh,text_vi
"
但是,与其他英语国家一样,其收入不平衡水平高于许多欧洲国家。
","
Tuy nhiên, cũng như nhiều nền kinh tế của các nước nói tiếng Anh, nó có mức bất bình đẳng về thu nhập cao hơn so với nhiều nước châu Âu.
"
"
7,8.( 甲)有什么证据证明上帝的子民已‘放长他们的绳子’?(
","
7, 8. a) Có bằng chứng nào cho thấy rằng dân sự Đức Chúa Trời đã “giăng dây cho dài”?
"
"
你也会愉快地记起这节经文:「王要回答说:『我实在告诉你们,这些事你们既做在我这弟兄中一个最小的身上,就是做在我身上了』(马太福音25:40)。
","
Các chị em cũng sẽ mỉm cười khi nhớ tới câu này: “Vua sẽ trả lời rằng: Quả thật, ta nói cùng các ngươi, hễ các ngươi đã làm việc đó cho một người trong những người rất hèn mọn nầy của anh em ta, ấy là đã làm cho chính mình ta vậy” (Ma Thi Ơ 25:40).
"
"
并不是因为它们有益处,而是因为它们可以买得到。
","
Không phải chúng ngon, mà vì chúng luôn có sẵn.
"
"
8 由于服从上帝的吩咐,上帝地上仆人的数目现已超过七百万。
","
8 Nhờ vâng theo những điều răn đó, các tôi tớ của Đức Chúa Trời trên đất ngày nay lên đến khoảng bảy triệu người.
"
"
马太福音28:19,20)这正是本届学员将要做的事,因为他们分别奉派到20个国家去传道。
","
(Ma-thi-ơ 28:19, 20) Điều ấy thật thích hợp biết bao, vì những người tốt nghiệp được gửi đi phục vụ ở 20 nước khác nhau!
"
"
谁知第二天早上,他就打电话给我们说:“我找到你们想要的地皮了。”
","
Nhưng sáng hôm sau, ông ấy gọi lại và nói: “Tôi đã tìm được bất động sản quý vị muốn”.
"
"
洪水退后,所有东西都给铺了厚厚的泥浆,还散发着难闻的气味。
","
Sau khi nước rút, mọi thứ đều bị bao bọc bởi một lớp bùn dày hôi thối.
"
"
小鲍点击您的广告,这触发系统为第一次点击记录一次新会话。
","
Bob nhấp vào quảng cáo của bạn, đăng ký một phiên mới cho nhấp chuột đầu tiên.
"
"
人生最重要的就是对上帝忠心到底,在这方面所罗门却失败了。
","
Trong khía cạnh quan trọng nhất của đời sống, đó là giữ lòng trung thành với Đức Chúa Trời, thì ông lại thất bại.
"
"
12 我们从福音书的这两个记载得到宝贵的教益,得以深入了解“基督的思想”。
","
12 Hai lời tường thuật này trong Phúc âm cho chúng ta sự hiểu biết quý báu về “ý của Đấng Christ”.
"
"
摩奴建造了一条船,由鱼把船拖行,直至船搁在喜马拉雅山的一个山峰上。
","
Manu đóng một chiếc tàu và được con cá kéo cho đến khi chiếc tàu tấp trên một ngọn núi trong dãy Hy Mã Lạp Sơn.
"
"
我们可以怎样清楚说明经文的意义?[《
","
Chúng ta cho thấy rõ cách áp dụng câu Kinh Thánh qua những cách nào?
"
"
在聚会里,他们学习翻阅圣经和其他圣经书刊,也学到要尊重这些书刊。
","
Ở đấy, chúng học cách dùng và tôn trọng Kinh Thánh cũng như những ấn phẩm dựa trên Kinh Thánh.
"
"
Google 的欧洲总部位于爱尔兰的都柏林市 (Google Ireland Ltd.)。
","
Trụ sở chính của Google ở Châu Âu nằm tại Dublin (Google Ireland Ltd.).
"
"
马尔加良弟兄辩护时说,出席耶和华见证人聚会的儿童,都已获得家长许可, 又说,军事服务是个人的决定。
","
Anh cũng giải thích nghĩa vụ quân sự là một quyết định cá nhân.
"
"
他们 喜欢 破坏 甚至 会 作出 更 恶劣 的 行为 改造 等
","
Chuyện trốn đi là ý của em.
"
"
6. 为什么保罗劝加拉太的基督徒要站立得稳?
","
Quí trọng sự tự do mà Đức Chúa Trời ban cho
"
"
							例如,假设经理帐号所用币种为美元 (USD),而某个客户帐号使用英镑 (GBP)。
              			","
                			Ví dụ: giả sử đơn vị tiền tệ được sử dụng cho tài khoản người quản lý của bạn là đô la Mỹ (USD), nhưng một trong những tài khoản được quản lý của bạn sử dụng bảng Anh (GBP).
                		"
"
							唱诗第191首。 结束的祷告。
              			","
                			Bài hát 107 và cầu nguyện kết thúc.
                		"
"
							我們 肯定 需要 關于 這 家伙 的 更 多 信息
              			","
                			Ta chắc chắn cần thêm thông tin về con này.
                		"
"
							其中一個很可能是欺騙性的情節談到,伊拉克士兵將科威特嬰兒從他們的保育箱中扔出來,讓他們在醫院的地板上死去。
              			","
                			Công ty này bắt đầu tạo ra một chiến dịch miêu tả các binh sĩ Iraq là đã lôi những đứa trẻ ra khỏi lồng ấp trong các bệnh viện Kuwait và để chúng chết dưới sàn.
                		"
"
							同一年,有些特别先驱从葡萄牙来到岛上。
              			","
                			Cùng năm ấy, các tiên phong đặc biệt ở Bồ Đào Nha bắt đầu đến giúp.
                		"
"
							当我说,“如果市长们可以统治这个世界”, 当我第一次想到这个说法的时候, 我突然认识到,他们其实已经这样做了。
              			","
                			Khi nói rằng các thị trưởng có thể điều hành thế giới, Khi lần đầu nêu lên ý tưởng này, tôi phát hiện ra rằng sự thực là như vậy.
                		"
"
							22这就是亚当子孙的家谱,亚当是神的a儿子,神亲自与他交谈。
              			","
                			22 Và đây là gia phả về các con trai của A Đam, ông là acon trai của Thượng Đế, là người mà chính Thượng Đế đã nói chuyện.
                		"
"
							但正如你所知道的,保罗并没有向弱点屈膝,认为他的行为完全不由自主。
              			","
                			Tuy nhiên như bạn biết, Phao-lô đã không cho rằng ông không thể kiểm soát được hành động của mình.
                		"
"
							90凡给你们吃、或给你们穿或给你们钱的,绝不会a失去他的酬赏。
              			","
                			90 Và kẻ nào cho các ngươi thức ăn, hay cho các ngươi quần áo mặc, hoặc cho các ngươi tiền, thì sẽ chẳng vì lý do gì bị amất phần thưởng của mình.
                		"
"
							大家坐在一起轻轻松松地聊天,手上再来一杯自己喜欢的咖啡或茶,这真是人生一大享受啊!
              			","
                			Chắc chắn rằng cuộc nói chuyện thư thái cùng với một thức uống thơm ngon—cà phê hoặc trà, tùy vào khẩu vị của bạn—là một niềm vui thích bình dị trong đời sống.
                		"
"
							这种恐慌促使全球各国携起手来, 加上专门的疫苗公司的努力, 我们才有了现在的结果: 两种埃博拉疫苗正在发病国家进行疗效试验,
              			","
                			Với Ebola sự bấn loạn nó gây ra cùng với việc có 1 số ca lây lan đến các nước phát triển đã khiến cho cộng đồng thế giới gắn kết với nhau cùng với sự nỗ lực của những nhà cung cấp vắc-xin hàng đầu, giờ thì chúng ta có những thứ này: Hai mẫu thử vắc-xin hữu nghiệm ở các quốc gia nhiễm Ebola
                		"
"
							這里 非常 不錯 真的
","
                			Thật đó.
                		"
"
4 尽管生活忙碌,你有紧守神治传道训练班的秩序,阅读每周的经文吗?
              			","
                			4 Dù bận rộn, bạn có đọc Kinh-thánh hàng tuần như lời đề nghị trong chương trình Trường Thánh chức Thần quyền không?
                		"
"
							许多诚心的人也因此听到好消息,开始学习圣经。
              			","
                			Nhiều người thành thật do đó nghe được tin mừng và đã bắt đầu học hỏi Kinh Thánh.
                		"
"
							撒母耳记上25:41;列王纪下3:11)你的儿女要是受委派在王国聚会所或大会场地做某些工作,你有没有鼓励他们要甘心乐意、认认真真地去做呢?
              			","
                			(1 Sa-mu-ên 25:41; 2 Các Vua 3:11) Hỡi các bậc cha mẹ, các bạn có khuyến khích con cái làm những công việc chúng được giao phó với tinh thần vui vẻ, dù là ở Phòng Nước Trời, tại hội nghị, hoặc đại hội?
                		"
"
							这就是为什么当食物一成不变的时候 多巴胺的分泌就会逐渐趋于平稳。
              			","
                			Và đó là lí do tại sao mức dopamine giảm mạnh khi thức ăn trở nên nhàm chán.
                		"
"
							他 需要 界線 和 一 隻 有力 的 手
              			","
                			Nó cần phải có 1 bàn tay mạnh mẽ bảo vệ nó.
                		"
"
							跟两个儿女的近照
              			","
                			Với hai con tôi hiện nay
                		"
"
							例如:我们很早起床,早上一起讨论当日经文,让一天有个属灵的开始。
              			","
                			Chúng tôi thức dậy từ sáng sớm và bắt đầu một ngày với các ý tưởng thiêng liêng, bằng cách xem xét câu Kinh-thánh mỗi ngày.
                		"
"
							14 学会怎样工作:工作是人生所不可或缺的。
              			","
                			14 Học cách làm việc: Làm việc là khía cạnh cơ bản của đời sống.
                		"
"
							哥林多后书8:12)捐献的目的不是与人竞争或比较。
              			","
                			(2 Cô-rinh-tô 8:12) Đúng vậy, đóng góp không phải là vấn đề để cạnh tranh hoặc so sánh.
                		"
"
							哈米吉多顿不是上帝挑起的。
              			","
                			Đức Chúa Trời không gây ra cuộc chiến Ha-ma-ghê-đôn.
                		"
"
							一棵树如果能随风弯曲,就算风再大也不会被吹倒。
              			","
                			Một cái cây có thể cong lại trước cơn gió thì dễ sống sót hơn khi gặp bão.
                		"
"
							尽快提供食物、水、临时住所、医疗护理,以及感情和灵性上的支持
              			","
                			Cung cấp càng sớm càng tốt thức ăn, nước uống, chỗ ở, sự chăm sóc y tế cũng như sự trợ giúp về tinh thần và thiêng liêng
                		"
"
							保罗这样说,是要警戒信徒,有些人虽然以基督徒自居,却不接受有关复活的圣经教训;他们如果跟这些人来往,就可能把信心毁了。
              			","
                			Ngày nay, việc áp dụng câu Kinh-thánh ở I Cô-rinh-tô 15:33 có thể giúp chúng ta theo đuổi con đường đạo đức như thế nào?
                		"
"
							我们将会用电视屏幕或类似的东西 来当做未来的书籍。
              			","
                			Chúng ta sẽ sử dụng màn hình TV hay cái gì đó tương tự để đọc sách điện tử tương lai.
                		"
"
							可是,我仔细查考过圣经之后,就开始亲近耶稣的父亲耶和华上帝。
              			","
                			Tuy nhiên, việc tìm hiểu Kinh Thánh kỹ lưỡng đã giúp tôi vun trồng tình bạn mật thiết với Cha của Chúa Giê-su là Giê-hô-va Đức Chúa Trời.
                		"
"
							我最经常被问到的问题是: 你是如何让一件事情 像病毒一样迅速传播的?
              			","
                			Câu hỏi tôi thường xuyên nhận được là: Làm sao bạn làm được thứ được lan truyền đến vậy?
                		"
"
在智利安第斯山脉, 我们已经部署了一组望远镜部队. 而且很快,它们将与拥有 超高性能的设备构架成一体。
              			","
                			Chúng ta đã có một loạt kính thiên văn tồn tại sẵn trên các ngọn núi Andes ở Chile, và sớm thôi sẽ được bổ sung bởi một loạt khả năng mới đáng kinh ngạc.
                		"
"
							福音书的执笔者都知道,耶稣降世之前已经生活在天上。
              			","
                			Những người viết Phúc Âm biết rằng Chúa Giê-su đã sống trên trời trước khi xuống đất.
                		"
"
							诗篇25:4)研读圣经和社方的书刊可以帮助你更深入认识耶和华。
              			","
                			Việc học hỏi Kinh-thánh cá nhân và các ấn phẩm của Hội có thể giúp bạn biết rõ Đức Giê-hô-va hơn.
                		"
"
							2007年8月,美国化学学会在两年一度的国际会议中,举办研讨会,庆祝霍夫曼70岁生日。
              			","
                			Tháng 8 năm 2007, Hội Hóa học Hoa Kỳ đã tổ chức một hội nghị chuyên đề ở cuộc họp một năm hai lần của hội, để mừng sinh nhật thứ 70 của Hoffmann.
                		"
"
							Peter:抚慰是这音乐的主题
              			","
                			PG: Vậy thư giản là chủ đề của bản nhạc.
                		"
"
							十二个塑像轮流移到窗户去,每次两个,看去仿佛在俯视人群。
              			","
                			Khi lần lượt từng đôi một đi ngang qua hai khung cửa sổ, 12 hình họa có vẻ như quan sát đám đông phía dưới.
                		"
"
							“全球”性或“世界”性意味着属于这个国家主权下的领土遍及全世界。
              			","
                			""Toàn cầu"" hoặc ""thế giới"" có nghĩa là lãnh thổ dưới chủ quyền của quốc gia này được lan rộng trên toàn thế giới.
                		"
"
							1944年1月初,当局突然把费迪南德解往荷兰菲赫特的集中营。
              			","
                			Đầu tháng 1 năm 1944, anh bất ngờ bị chuyển đến trại tập trung ở Vught, Hà Lan.
                		"
"
							当 我 还 小 的 时候 我 父亲 在 育空 山上 ( 加拿大 ) 训练 一队 雪橇 狗
              			","
                			Hồi xưa cha tôi nuôi hai con chó và ông ta đã cho một thanh niên.
                		"
"
							此外,关于耶路撒冷遭受毁灭的预言清楚显示,耶和华能够在新事还没有发生之前,就让他的子民听见。( 以赛亚书42:9)
              			","
                			Lời tiên tri về việc thành Giê-ru-sa-lem bị hủy diệt miêu tả rõ ràng Đức Giê-hô-va là Đức Chúa Trời ‘làm cho dân Ngài biết các sự mới trước khi chúng nổ ra’.—Ê-sai 42:9.
                		"
"
							以赛亚的预言为他们带来了光明和希望。 耶和华提出叫人安慰的应许,他们能够返回故乡!
              			","
                			Đối với họ, lời tiên tri của Ê-sai chứa đựng một lời hứa an ủi về ánh sáng thiêng liêng và hy vọng—Đức Giê-hô-va sẽ đưa họ về quê hương!
                		"
"
							* 亦见艾蒙,摩赛亚之子;摩赛亚之子;希拉曼的子弟
              			","
                			* Xem thêm Am Môn, Con Trai của Mô Si A; Hê La Man, Các Con Trai của; Mô Si A, Các Con Trai của
                		"
"
							科威特國際機場位於科威特城大都市區南郊。
              			","
                			Trung tâm của hãng tại Sân bay quốc tế Kuwait ở Thành phố Kuwait.
                		"
"
							你是否预见自己在上大学?
              			","
                			Các em có dự định theo học một trường đại học không?
                		"
"
							這個插件與澳大利亞和中國的插頭外观类似。
              			","
                			Các phích này trông giống các phích cắm của Úc và Trung Quốc.
                		"
"
							突然,那两个共同的威胁 那几十年来推动着他们互相靠近的威胁 或多或少地消失了
              			","
                			Bỗng nhiên hai mối đe dọa chung từng đẩy hai đất nước này lại gần nhau trong suốt bao thập kỷ qua phần nào đã bị bốc hơi hết.
                		"
"
							过去三年,耶和华见证人曾为差不多一百万人施浸。
              			","
                			NHÂN CHỨNG Giê-hô-va đã làm báp têm cho gần một triệu người trong ba năm qua.
                		"
"
							如果商家不遵守这些政策,我们可能就会拒批其商品,以此通知他们我们发现了违反政策的情况。
              			","
                			Khi người bán không tuân thủ những chính sách này, chúng tôi có thể từ chối mặt hàng của họ để họ biết rằng đó là việc làm không đúng.
                		"
"
							你 知道 誰 讓 他們 坐在 那 的?
              			","
                			Và anh biết ai đưa chúng vào đó không?
                		"
"
							▪ 为了准备自己做一个好的配偶,你最需要培养哪一种特质呢?
              			","
                			▪ Đức tính nào bạn cần trau dồi nhiều nhất để trở thành người vợ hoặc người chồng tốt?
                		"
"
							哦 这么 长时间 我 一直 以为 你 是 呢
              			","
                			Vậy mà tôi cứ tưởng là thế suốt.
                		"
"
							伊莉翠 的 输油管
              			","
                			Đường ống của Elektra.
                		"
"
							歌罗西书1:9,10)我们可以在两个主要方面留意自己的属灵容貌。
              			","
                			Chúng ta có thể chăm sóc tình trạng thiêng liêng của mình bằng hai cách chính.
                		"
"
							Lee Cronin:很多人认为 生命用了数百万年的时间起作用。
              			","
                			Lee Cronin: Nhiều người nghĩ rằng cuộc sống cần hàng triệu năm để tiến hóa.
                		"
"
							20 耶稣在马太福音28:19,20所说的话表明受浸者应当是已经成为他门徒的人。
              			","
                			20 Những lời của Giê-su nơi Ma-thi-ơ 28:19, 20 cho thấy những người đã trở nên môn đồ của ngài nên làm báp têm.
                		"
"
3)为什么带领学生归附上帝的组织十分重要?
              			","
                			3) Tại sao việc hướng những người học đến với tổ chức là điều quan trọng?
                		"
"
							抱歉 , 我 迟到 了 , 你 知道 的
","
                			Xin lỗi vì đến trễ, anh biết đó.
                		"
"
							美国有一对二十多岁的亲姐妹搬到多米尼加共和国服务。 她们说:“这里有许多风俗跟美国不一样,要努力适应。
              			","
                			Hai chị em ruột người Mỹ gần 30 tuổi, đang phục vụ tại Cộng Hòa Dominican, tâm sự: “Có quá nhiều tập tục mới lạ mà chúng tôi phải làm quen.
                		"
"
							井旁遇见的陌生人
              			","
                			Người lạ bên giếng nước
                		"
"
为便于我们处理您的付款,您需要在银行的转帐单中提供您的专用参考号。
              			","
                			Để xử lý giao dịch thanh toán, bạn cần phải cung cấp số tham chiếu riêng của mình khi điền biểu mẫu chuyển khoản của ngân hàng.
                		"
"
							演讲及与听众讨论《守望台》2003年7月15日刊20页。
              			","
                			Bài giảng và thảo luận với cử tọa dựa trên Tháp Canh ngày 15-7-2003, trang 20.
                		"
"
							因此这是个非常重要的数据。
              			","
                			Đó là một phần rất quan trọng của dữ liệu.
                		"
"
							说不定这会使他们也努力去体谅你,设法明白你的感受!(
              			","
                			Chắc chắn họ sẽ hài lòng vì bạn quan tâm hỏi han về đời sống họ.
                		"
"
							你 在 艦長 日志 裡是 這樣 描述 Nibiru 星系 的 勘察 任務 的
","
                			Cậu mô tả chuyến khảo sát hành tinh Nibiru như thế trong nhật ký cơ trưởng của mình.
                		"
"
							你先除掉自己眼中的梁木,然后才能看清楚,可以除掉弟兄眼中的刺。”( 马太福音7:1-5)
              			","
                			trước hết phải lấy cây đà khỏi mắt mình đi, rồi mới thấy rõ mà lấy cái rác ra khỏi mắt anh em mình được”.—Ma-thi-ơ 7:1-5.
                		"
"
							因為 你 需要 去 那
              			","
                			Khi đó con đã có được nơi con cần phải đến rồi.
                		"
"
在许多不同的生物身上都能看到这种情况。
              			","
                			Ta có thể thấy điều này ở nhiều sinh vật khác.
                		"
"
							他在地上的时候传道,说:“天国近了。” 他也派出门徒传道。(
              			","
                			Khi còn ở trên đất, ngài đã rao giảng: “Nước thiên-đàng đã đến gần”, và ngài sai các môn đồ đi làm cùng công việc đó.
                		"
"
							这个观点简直绝了,这就是我在找寻的那个安全距离 这就是让人免受作品成败影响的心理保护机制
              			","
                			Thật tuyệt vời - đó, chính đó là dạng khoảng cách mà tôi đang nói tới - đó là cấu trúc tâm lý để tự bảo vệ bản thân khỏi kết quả của công việc của mình.
                		"
"
							6 属上帝的人的另一个显著品德是慷慨大量。
              			","
                			6 Một đức tính khác đánh dấu người của Đức Chúa Trời là tính rộng lượng.
                		"
"
							艾迪絲·「艾迪」·溫莎(英语:Edith ""Edie"" Windsor,1929年6月20日-2017年9月12日)是一名美國女LGBT權益活動家,同時也是IBM的技術經理。
              			","
                			Edith ""Edie"" Windsor (nhũ danh Schlain; ngày 20 tháng 6 năm 1929 - 12 tháng 9 năm 2017) là một nhà hoạt động về quyền LGBT của Mỹ và là người quản lý công nghệ tại IBM.
                		"
"
							虽然后来因为我们的傲慢 我们把它弄丢了
              			","
                			Dù, có Chúa Trời biết, gần đây, với sự kiêu ngạo của nghề nghiệp chúng tôi chúng tôi đã bỏ quên.
                		"
"
							克莉斯蒂娜和何塞*都是基督徒,他们体验到这是千真万确的事实。
              			","
                			Hai tín đồ đạo Đấng Ki-tô là chị Cristina và anh José* đã thấy điều này là đúng.
                		"
"
							我们可以从上帝管教舍伯那的经历学到什么?
              			","
                			Kinh nghiệm của Sép-na dạy anh chị điều gì về sự sửa dạy đến từ Đức Chúa Trời?
                		"
"
							12 诗篇143:5透露大卫经历危险和重大试炼时怎样行:“我追想古时之日,思想你的一切作为,默念你手的工作。”
              			","
                			12 Thi-thiên 143:5 cho thấy Đa-vít đã làm gì khi liên tục gặp hiểm nguy và thử thách lớn: “Tôi nhớ lại các ngày xưa, tưởng đến mọi việc Chúa đã làm, và suy-gẫm công-việc của tay Chúa”.
                		"
"
在乐园直至永恒。
              			","
                			Khắp muôn nơi an vui, thái bình.
                		"
"
							不, 我 想 让 你 礼貌 点 让 那个 女 的 死 了 算了.
              			","
                			Không, tôi muốn cô cứ tỏ ra lịch sự và để cô ta chết đi.
                		"
"
							路加福音21:37,38;约翰福音5:17)门徒无疑看得出,耶稣之所以努力传道,是因为对人有深厚的爱。
              			","
                			Đối với ngài, thánh chức không phải là sở thích, làm cho vui (Lu-ca 21:37, 38; Giăng 5:17).
                		"
"
							我学到不论状况如何,我是有价值的。
              			","
                			Tôi đã biết được rằng cho dù hoàn cảnh có ra sao đi nữa thì tôi vẫn đáng được cứu.
                		"
"
							这是孩子们教的,你也能这么做
              			","
                			Bạn cũng có thể làm.
                		"
"
							酒缺了,耶穌的母親向衪說:「他們沒有酒了。
              			","
                			Mẹ của Chúa Giêsu (đoạn này không nêu rõ tên bà) đã nói với Chúa Giêsu rằng: ""Họ hết rượu rồi"".
                		"
"
							乙)耶和华仍然对他的子民坚守什么诺言?
              			","
                			(b) Đức Giê-hô-va vẫn còn sự cam kết nào với dân Ngài?
                		"
"
							温习范围包括训练班在2005年9月5日至10月31日各周所论及的资料。[
              			","
                			Giám thị trường học sẽ điều khiển bài ôn kéo dài 30 phút dựa trên những tài liệu đã được chỉ định cho tuần lễ ngày 5 tháng 9 tới ngày 31 tháng 10 năm 2005.
                		"
"
							由于这个缘故,以弗所书6:12告诉基督徒:“我们有一场角斗,不是抵抗血肉之躯,而是抵抗那些政府、那些当权者、那些管辖黑暗的世界统治者,以及持有天上席位的邪恶灵体。”
              			","
                			Vì thế cho nên tín đồ đấng Christ được dặn bảo nơi Ê-phê-sô 6:12: “Chúng ta đánh trận, chẳng phải cùng thịt và huyết, bèn là cùng chủ-quyền, cùng thế-lực, cùng vua-chúa của thế-gian mờ-tối nầy, cùng các thần dữ ở các miền trên trời vậy”.
                		"
"
							这是一项不可能完成的任务。
              			","
                			Một nhiệm vụ không thể hoàn thành được.
                		"
"
在美国,这部影片被戏剧性地评级为NC-17 ,在意大利为 VM14。
              			","
                			Ở Mĩ, bộ phim được xếp loại NC-17, tương tự như VM14 ở Italy.
                		"
"
							如果您尝试使用以数据为依据的归因模型或除了最终点击归因以外的其他新归因模型,建议您先测试该模型并观察投资回报率受到的影响。
              			","
                			Khi bạn đang định dùng thử mô hình phân bổ theo hướng dữ liệu hoặc bất kỳ mô hình phân bổ mới nào không theo lần nhấp cuối cùng, chúng tôi khuyên bạn nên thử nghiệm mô hình đó trước tiên và xem nó ảnh hưởng đến lợi tức đầu tư của bạn như thế nào.
                		"
